City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Flin Flon,CA,2021-11-30 01:45:23,54.7682,-101.865,17.51,74,12,13.51
241,Matamoros,MX,2021-11-30 01:43:26,25.5333,-103.25,61.02,46,25,4.29
242,Ipojuca,BR,2021-11-30 01:46:23,-8.3989,-35.0639,82.31,83,34,6.58
243,Qaqortoq,GL,2021-11-30 01:46:23,60.7167,-46.0333,34.3,98,100,11.81
244,Waingapu,ID,2021-11-30 01:45:56,-9.6567,120.2641,83.3,69,100,4.54
245,Paragominas,BR,2021-11-30 01:45:09,-2.9667,-47.4833,72.93,96,13,2.66
246,Panaba,MX,2021-11-30 01:46:24,21.2833,-88.2667,71.87,84,26,8.43
247,Maningrida,AU,2021-11-30 01:46:25,-12.0667,134.2667,93.79,46,100,4.79
248,Villa Sandino,NI,2021-11-30 01:46:25,12.0483,-84.9936,72.09,83,100,12.55
249,Fargo,US,2021-11-30 01:46:26,46.8772,-96.7898,35.98,81,1,3.44
250,Dibulla,CO,2021-11-30 01:46:26,11.2725,-73.3091,78.33,83,99,6.67
251,Aripuana,BR,2021-11-30 01:42:08,-9.1667,-60.6333,73.85,88,71,1.05
252,Batagay,RU,2021-11-30 01:46:27,67.6333,134.6333,-22.27,98,100,2.15
253,Mayor Pablo Lagerenza,PY,2021-11-30 01:46:27,-19.9309,-60.7718,68.22,81,88,3.31
254,Billings,US,2021-11-30 01:46:19,45.7833,-108.5007,44.37,88,90,9.22
255,Jinchang,CN,2021-11-30 01:46:28,38.4953,102.1739,29.41,23,0,5.48
256,Nouakchott,MR,2021-11-30 01:42:41,18.0858,-15.9785,64.33,33,100,15.88
257,Katsuura,JP,2021-11-30 01:45:37,35.1333,140.3,65.19,62,98,19.55
258,Nichinan,JP,2021-11-30 01:46:29,31.6,131.3667,63.55,69,28,15.5
259,Padang,ID,2021-11-30 01:46:30,-0.9492,100.3543,82.45,74,100,2.75
260,Smidovich,RU,2021-11-30 01:46:30,48.6,133.8167,5.94,87,100,1.63
261,Pontianak,ID,2021-11-30 01:46:31,-0.0333,109.3333,78.78,83,20,4.61
262,Zhangye,CN,2021-11-30 01:46:31,38.9342,100.4517,30.72,18,7,2.04
263,Biograd Na Moru,HR,2021-11-30 01:46:32,43.9433,15.4519,41.76,60,93,13.35
264,Guamuchil,MX,2021-11-30 01:43:11,25.4667,-108.1,75.67,43,66,8.16
265,Shache,CN,2021-11-30 01:46:32,38.4167,77.2406,25.0,45,20,1.59
266,Sa Kaeo,TH,2021-11-30 01:46:33,13.75,102.3333,75.36,69,99,13.27
267,Qasigiannguit,GL,2021-11-30 01:46:33,68.8193,-51.1922,30.45,95,99,6.78
268,Nieuwpoort,BE,2021-11-30 01:46:34,51.1244,2.7735,46.09,90,90,9.22
269,Ierapetra,GR,2021-11-30 01:46:34,35.01,25.7353,65.14,55,1,8.01
270,Huarmey,PE,2021-11-30 01:46:35,-10.0681,-78.1522,66.99,83,85,9.33
271,Syracuse,IT,2021-11-30 01:46:36,37.0881,15.2792,47.32,61,3,27.69
272,Debno,PL,2021-11-30 01:46:36,52.739,14.698,34.29,84,100,9.89
273,Ulaanbaatar,MN,2021-11-30 01:45:14,47.9077,106.8832,-11.07,77,10,0.0
274,Jalu,LY,2021-11-30 01:46:37,29.0331,21.5482,57.87,53,57,9.04
275,Soyo,AO,2021-11-30 01:47:37,-6.1349,12.3689,78.15,89,100,5.75
276,Rudnichnyy,RU,2021-11-30 01:47:38,59.617,52.4703,32.41,99,100,8.08
277,Mpanda,TZ,2021-11-30 01:47:38,-6.3655,31.0409,67.32,89,100,1.83
278,Mahebourg,MU,2021-11-30 01:47:38,-20.4081,57.7,74.25,83,20,3.44
279,Husavik,IS,2021-11-30 01:47:39,66.0449,-17.3389,22.91,90,100,8.77
280,Kerema,PG,2021-11-30 01:47:40,-7.9631,145.7785,85.21,71,71,8.21
281,Chute-Aux-Outardes,CA,2021-11-30 01:47:40,49.1168,-68.399,26.58,80,90,8.05
282,Porto Nacional,BR,2021-11-30 01:47:40,-10.7081,-48.4172,78.8,94,100,3.44
283,George Town,MY,2021-11-30 01:45:23,5.4112,100.3354,78.89,89,20,1.01
284,Cabedelo,BR,2021-11-30 01:47:41,-6.9811,-34.8339,81.27,79,69,10.47
285,Tautira,PF,2021-11-30 01:47:42,-17.7333,-149.15,77.02,77,100,19.42
286,Xuddur,SO,2021-11-30 01:47:43,4.1213,43.8894,69.87,76,32,14.85
287,Barra,BR,2021-11-30 01:45:07,-11.0894,-43.1417,72.03,89,100,4.45
288,Necochea,AR,2021-11-30 01:47:43,-38.5473,-58.7368,55.04,80,0,12.15
289,Beaupre,CA,2021-11-30 01:47:44,47.0443,-70.8953,23.92,86,95,3.44
290,Harur,IN,2021-11-30 01:47:44,12.0667,78.5,72.91,93,100,2.17
291,Westlock,CA,2021-11-30 01:47:45,54.1502,-113.8688,30.34,92,100,7.49
292,Mizdah,LY,2021-11-30 01:47:45,31.4451,12.9801,46.18,39,66,10.36
293,Coahuayana,MX,2021-11-30 01:47:46,18.7333,-103.6833,83.68,77,20,2.17
