City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Course Description
93,Chapais,CA,2021-12-03 20:46:23,49.7834,-74.8492,4.78,92,100,10.13,overcast clouds
94,Horn Lake,US,2021-12-03 20:46:23,34.9554,-90.0348,76.03,57,75,11.01,broken clouds
95,Los Llanos De Aridane,ES,2021-12-03 20:46:24,28.6585,-17.9182,62.13,68,75,17.0,broken clouds
96,Oksfjord,NO,2021-12-03 20:46:24,70.2396,22.3479,20.32,91,40,11.54,scattered clouds
97,Port Lincoln,AU,2021-12-03 20:46:25,-34.7333,135.8667,57.69,69,4,11.45,clear sky
98,Pitimbu,BR,2021-12-03 20:46:25,-7.4706,-34.8086,82.99,79,39,10.51,scattered clouds
99,Carnarvon,AU,2021-12-03 20:44:35,-24.8667,113.6333,69.87,88,40,16.11,scattered clouds
100,Ekhabi,RU,2021-12-03 20:46:26,53.5102,142.9671,7.79,94,71,13.96,broken clouds
101,Faanui,PF,2021-12-03 20:46:26,-16.4833,-151.75,81.68,69,31,19.19,scattered clouds
102,Vardo,NO,2021-12-03 20:46:27,70.3705,31.1107,28.38,74,40,9.22,light snow
103,Kloulklubed,PW,2021-12-03 20:46:27,7.0419,134.2556,81.1,67,100,15.68,overcast clouds
104,Olafsvik,IS,2021-12-03 20:46:28,64.8945,-23.7142,36.07,71,100,4.54,overcast clouds
105,Dire Dawa,ET,2021-12-03 20:46:29,9.5931,41.8661,64.45,59,0,1.25,clear sky
106,Novikovo,RU,2021-12-03 20:46:29,51.1537,37.8879,45.68,86,100,17.94,overcast clouds
107,Coquimbo,CL,2021-12-03 20:46:30,-29.9533,-71.3436,64.13,67,0,14.97,clear sky
108,Hasanpur,IN,2021-12-03 20:46:30,28.7167,78.2833,62.02,56,0,5.35,clear sky
109,Teteven,BG,2021-12-03 20:46:31,42.9167,24.2667,43.63,91,100,2.37,overcast clouds
110,Gimli,CA,2021-12-03 20:42:15,50.6336,-96.9907,29.43,54,60,13.8,broken clouds
111,Ilulissat,GL,2021-12-03 20:46:32,69.2167,-51.1,15.82,62,20,33.38,few clouds
112,Upernavik,GL,2021-12-03 20:46:33,72.7868,-56.1549,13.91,79,53,7.96,broken clouds
113,Aykhal,RU,2021-12-03 20:46:33,66.0,111.5,-9.35,99,100,8.61,light snow
