City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Harper,LR,79.29,light rain,4.375,-7.7169,Screensaver
508,Micheweni,TZ,79.36,clear sky,-4.9667,39.8333, 
514,Mandera,KE,86.52,scattered clouds,3.9366,41.867,Mwalimu Guest mandera
517,Sinazongwe,ZM,83.57,few clouds,-17.2614,27.4618,Lakeview Lodge
519,Cayenne,GF,77.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
520,Touros,BR,85.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
521,San Policarpo,PH,78.94,overcast clouds,12.1791,125.5072,Agapita M. Nicart
528,Rock Sound,BS,75.92,scattered clouds,24.9,-76.2,Rock Sound Club
529,Bowen,AU,77.22,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
536,Inirida,CO,84.74,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
537,Phalaborwa,ZA,76.28,overcast clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
541,Santa Ana,US,75.42,haze,33.7456,-117.8678,Santa Ana Travel Inn
542,Chaiya,TH,80.19,overcast clouds,9.3862,99.1986,JP Place
544,Ippy,CF,77.52,overcast clouds,6.2679,21.2247, 
545,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
548,San Felipe,VE,78.15,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
550,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
553,Gold Coast,AU,76.17,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
557,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
558,Wamba,NG,77.65,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
561,Angoram,PG,76.46,broken clouds,-4.0625,144.0661, 
562,Loiza,PR,84.2,scattered clouds,18.4313,-65.8802,Malibu Beachfront
564,Vaitape,PF,81.66,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
579,Iracoubo,GF,78.78,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
580,Tevaitoa,PF,81.57,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
581,Buenos Aires,AR,77.0,scattered clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
582,Sorong,ID,80.33,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
585,Eyl,SO,76.96,clear sky,7.9803,49.8164,Amiin Hotel
587,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
588,Miramar,US,80.02,few clouds,25.9873,-80.2323,Miramar
592,Katobu,ID,76.03,overcast clouds,-4.9408,122.5276,La Ode Husein
595,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
603,The Valley,AI,84.06,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
607,San Andres,CO,84.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
608,Sitio Novo Do Tocantins,BR,87.73,few clouds,-5.5183,-47.4611,Imperial Hotel
612,Nioro,GM,84.52,overcast clouds,13.35,-15.75, 
